timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585560845487,19777,UCJ01_0_генерация_пакета,200,"Number of samples in transaction : 3, number of failing samples : 0",UCJ01_Integration 1-1,,true,,728,0,1,1,null,0,0,0
1585560845507,15,extractLocation,200,OK,UCJ01_Integration 1-1,text,true,,0,0,1,1,null,0,0,0
1585560845522,20,clearDirectory,200,OK,UCJ01_Integration 1-1,text,true,,0,0,1,1,null,0,0,0
1585560845550,19714,generatePackage,0,OK,UCJ01_Integration 1-1,text,true,,728,0,1,1,null,0,0,0
1585560865274,108,UCJ01_1_SOAP_получение_RSA_ключа,200,"Number of samples in transaction : 1, number of failing samples : 0",UCJ01_Integration 1-1,,true,,1658,487,1,1,null,0,2,0
1585560865275,108,soapGetRsaKeyRequest,200,,UCJ01_Integration 1-1,text,true,,1658,487,1,1,http://172.17.7.10:8081/soapGateway,108,0,30
1585560865384,85,UCJ01_2_SOAP_открытие_сессии_банком,200,"Number of samples in transaction : 1, number of failing samples : 0",UCJ01_Integration 1-1,,true,,872,486,1,1,null,0,2,0
1585560865385,85,soapStartSessionRequest,200,,UCJ01_Integration 1-1,text,true,,872,486,1,1,http://172.17.7.10:8081/soapGateway,85,0,0
1585560865482,2771,UCJ01_0_генерация_пакета,200,"Number of samples in transaction : 3, number of failing samples : 0",UCJ01_Integration 1-2,,true,,223,0,2,2,null,0,0,0
1585560865483,1,extractLocation,200,OK,UCJ01_Integration 1-2,text,true,,0,0,2,2,null,0,0,0
1585560865484,1,clearDirectory,200,OK,UCJ01_Integration 1-2,text,true,,0,0,2,2,null,0,0,0
1585560865485,2768,generatePackage,0,OK,UCJ01_Integration 1-2,text,true,,223,0,2,2,null,0,0,0
1585560868255,104,UCJ01_1_SOAP_получение_RSA_ключа,200,"Number of samples in transaction : 1, number of failing samples : 0",UCJ01_Integration 1-2,,true,,1658,488,2,2,null,0,4,0
1585560868259,104,soapGetRsaKeyRequest,200,,UCJ01_Integration 1-2,text,true,,1658,488,2,2,http://172.17.7.10:8081/soapGateway,104,0,39
1585560868364,75,UCJ01_2_SOAP_открытие_сессии_банком,200,"Number of samples in transaction : 1, number of failing samples : 0",UCJ01_Integration 1-2,,true,,872,487,2,2,null,0,1,0
1585560868365,75,soapStartSessionRequest,200,,UCJ01_Integration 1-2,text,true,,872,487,2,2,http://172.17.7.10:8081/soapGateway,74,0,0
1585560865471,3500,UCJ01_3_копирование_пакета_на_сервер,200,"Number of samples in transaction : 2, number of failing samples : 0",UCJ01_Integration 1-1,,true,,0,0,2,2,null,0,1,0
1585560865471,17,writeRsaKeyToFile,200,OK,UCJ01_Integration 1-1,text,true,,0,0,2,2,null,0,0,0
1585560865489,3483,copyPackageOnServer,200,OK,UCJ01_Integration 1-1,text,true,,0,0,2,2,null,0,0,0
1585560868440,1173,UCJ01_3_копирование_пакета_на_сервер,200,"Number of samples in transaction : 2, number of failing samples : 0",UCJ01_Integration 1-2,,true,,0,0,2,2,null,0,2,0
1585560868441,0,writeRsaKeyToFile,200,OK,UCJ01_Integration 1-2,text,true,,0,0,2,2,null,0,0,0
1585560868442,1173,copyPackageOnServer,200,OK,UCJ01_Integration 1-2,text,true,,0,0,2,2,null,0,0,0
1585560868973,639,UCJ01_4_SOAP_подтверждение_отправки_пакета,200,"Number of samples in transaction : 7, number of failing samples : 0",UCJ01_Integration 1-1,,true,,4880,5117,2,2,null,0,6,0
1585560868973,107,soapSendFileConfirmationRequest,200,,UCJ01_Integration 1-1,text,true,,819,851,2,2,http://172.17.7.10:8081/soapGateway,107,0,29
1585560869081,80,soapSendFileConfirmationRequest,200,,UCJ01_Integration 1-1,text,true,,819,851,2,2,http://172.17.7.10:8081/soapGateway,80,0,0
1585560869162,81,soapSendFileConfirmationRequest,200,,UCJ01_Integration 1-1,text,true,,819,851,2,2,http://172.17.7.10:8081/soapGateway,81,0,0
1585560869244,80,soapSendFileConfirmationRequest,200,,UCJ01_Integration 1-1,text,true,,819,851,2,2,http://172.17.7.10:8081/soapGateway,80,0,0
1585560869325,86,soapSendFileConfirmationRequest,200,,UCJ01_Integration 1-1,text,true,,819,851,2,2,http://172.17.7.10:8081/soapGateway,86,0,0
1585560869412,198,soapSendRequestConfirmationRequest,200,,UCJ01_Integration 1-1,text,true,,779,862,2,2,http://172.17.7.10:8081/soapGateway,198,0,0
1585560869611,7,clearVarsData,200,OK,UCJ01_Integration 1-1,text,true,,6,0,2,2,null,0,0,0
1585560869616,214,UCJ01_4_SOAP_подтверждение_отправки_пакета,200,"Number of samples in transaction : 3, number of failing samples : 0",UCJ01_Integration 1-2,,true,,1603,1714,2,2,null,0,2,0
1585560869616,66,soapSendFileConfirmationRequest,200,,UCJ01_Integration 1-2,text,true,,819,851,2,2,http://172.17.7.10:8081/soapGateway,66,0,0
1585560869683,148,soapSendRequestConfirmationRequest,200,,UCJ01_Integration 1-2,text,true,,779,863,2,2,http://172.17.7.10:8081/soapGateway,148,0,0
1585560869832,0,clearVarsData,200,OK,UCJ01_Integration 1-2,text,true,,5,0,2,2,null,0,0,0
1585560869833,12717,UCJ01_5_Обработка_сессии,200,"Number of samples in transaction : 3, number of failing samples : 0",UCJ01_Integration 1-2,,true,,375,0,3,3,null,0,8402,0
1585560869833,0,clearDeltaOK,200,OK,UCJ01_Integration 1-2,text,true,,0,0,2,2,null,0,0,0
1585560879835,0,getTimeOfProcessingOK,200,OK,UCJ01_Integration 1-2,text,true,,85,0,2,2,null,1029,0,999
1585560890865,12717,getTimeOfProcessingOK,200,OK,UCJ01_Integration 1-2,text,true,,290,0,3,3,null,87,0,58
1585560868255,22698,UCJ01_Загрузка_пакетов_на_создание,200,"Number of samples in transaction : 19, number of failing samples : 0",UCJ01_Integration 1-2,,true,,4508,2689,3,3,null,0,0,0
1585560890954,112,UCJ01_2_SOAP_открытие_сессии_банком,200,"Number of samples in transaction : 1, number of failing samples : 0",UCJ01_Integration 1-2,,true,,872,487,3,3,null,0,1,0
1585560890955,112,soapStartSessionRequest,200,,UCJ01_Integration 1-2,text,true,,872,487,3,3,http://172.17.7.10:8081/soapGateway,112,0,29
1585560891068,1329,UCJ01_4_копирование_пакета_на_сервер,200,"Number of samples in transaction : 1, number of failing samples : 0",UCJ01_Integration 1-2,,true,,0,0,3,3,null,0,0,0
1585560891068,1329,copyPackageOnServer,200,OK,UCJ01_Integration 1-2,text,true,,0,0,3,3,null,0,0,0
1585560892398,270,UCJ01_5_SOAP_подтверждение_отправки_пакета,200,"Number of samples in transaction : 3, number of failing samples : 0",UCJ01_Integration 1-2,,true,,1604,1717,3,3,null,0,3,0
1585560892398,92,soapSendFileConfirmationRequest,200,,UCJ01_Integration 1-2,text,true,,819,854,3,3,http://172.17.7.10:8081/soapGateway,92,0,0
1585560892492,177,soapSendRequestConfirmationRequest,200,,UCJ01_Integration 1-2,text,true,,779,863,3,3,http://172.17.7.10:8081/soapGateway,177,0,0
1585560892670,1,clearVarsData,200,OK,UCJ01_Integration 1-2,text,true,,6,0,3,3,null,0,0,0
1585560892672,14177,UCJ01_7_Обработка_сессии_редактирования_контракта,200,"Number of samples in transaction : 3, number of failing samples : 0",UCJ01_Integration 1-2,,true,,373,0,3,3,null,0,6041,0
1585560892673,12,clearDeltaOK,200,OK,UCJ01_Integration 1-2,text,true,,0,0,3,3,null,0,0,0
1585560902697,0,getTimeOfProcessingOK,200,OK,UCJ01_Integration 1-2,text,true,,84,0,3,3,null,87,0,58
1585560912804,14165,getTimeOfProcessingOK,200,OK,UCJ01_Integration 1-2,text,true,,289,0,3,3,null,85,0,57
1585560890954,21937,UCJ01_Загрузка_пакетов_на_редактирование,200,"Number of samples in transaction : 15, number of failing samples : 0",UCJ01_Integration 1-2,,true,,2849,2204,3,3,null,0,0,0
1585560912892,2924,UCJ01_0_генерация_пакета,200,"Number of samples in transaction : 3, number of failing samples : 0",UCJ01_Integration 1-2,,true,,223,0,3,3,null,0,0,0
1585560912892,0,extractLocation,200,OK,UCJ01_Integration 1-2,text,true,,0,0,3,3,null,0,0,0
1585560912893,2,clearDirectory,200,OK,UCJ01_Integration 1-2,text,true,,0,0,3,3,null,0,0,0
1585560912896,2920,generatePackage,0,OK,UCJ01_Integration 1-2,text,true,,223,0,3,3,null,0,0,0
1585560915816,90,UCJ01_1_SOAP_получение_RSA_ключа,200,"Number of samples in transaction : 1, number of failing samples : 0",UCJ01_Integration 1-2,,true,,1658,488,3,3,null,0,6,0
1585560915821,90,soapGetRsaKeyRequest,200,,UCJ01_Integration 1-2,text,true,,1658,488,3,3,http://172.17.7.10:8081/soapGateway,90,0,31
1585560915912,74,UCJ01_2_SOAP_открытие_сессии_банком,200,"Number of samples in transaction : 1, number of failing samples : 0",UCJ01_Integration 1-2,,true,,872,487,3,3,null,0,1,0
1585560915913,74,soapStartSessionRequest,200,,UCJ01_Integration 1-2,text,true,,872,487,3,3,http://172.17.7.10:8081/soapGateway,74,0,0
1585560915988,1184,UCJ01_3_копирование_пакета_на_сервер,200,"Number of samples in transaction : 2, number of failing samples : 0",UCJ01_Integration 1-2,,true,,0,0,3,3,null,0,1,0
1585560915988,1,writeRsaKeyToFile,200,OK,UCJ01_Integration 1-2,text,true,,0,0,3,3,null,0,0,0
1585560915989,1183,copyPackageOnServer,200,OK,UCJ01_Integration 1-2,text,true,,0,0,3,3,null,0,0,0
1585560917173,227,UCJ01_4_SOAP_подтверждение_отправки_пакета,200,"Number of samples in transaction : 3, number of failing samples : 0",UCJ01_Integration 1-2,,true,,1603,1714,3,3,null,0,3,0
1585560917174,69,soapSendFileConfirmationRequest,200,,UCJ01_Integration 1-2,text,true,,819,851,3,3,http://172.17.7.10:8081/soapGateway,69,0,0
